Starting training...
{'loss': 0.4594, 'learning_rate': 4.8944337811900195e-05, 'epoch': 0.06}
{'loss': 0.0447, 'learning_rate': 8.455960759223715e-06, 'epoch': 2.5}
{'loss': 0.0681, 'learning_rate': 7.389635316698657e-06, 'epoch': 2.56}
{'loss': 0.0436, 'learning_rate': 6.323309874173599e-06, 'epoch': 2.62}
{'loss': 0.0596, 'learning_rate': 5.256984431648539e-06, 'epoch': 2.69}
{'loss': 0.0363, 'learning_rate': 4.19065898912348e-06, 'epoch': 2.75}
{'loss': 0.0496, 'learning_rate': 3.124333546598422e-06, 'epoch': 2.82}
{'loss': 0.0495, 'learning_rate': 2.0580081040733634e-06, 'epoch': 2.88}
{'loss': 0.0523, 'learning_rate': 9.916826615483046e-07, 'epoch': 2.94}
{'eval_loss': 0.28680408000946045, 'eval_accuracy': 0.94004, 'eval_f1': 0.9400394012574452, 'eval_runtime': 197.1063, 'eval_samples_per_second': 126.835, 'eval_steps_per_second': 7.93, 'epoch': 3.0}
{'train_runtime': 1187.2061, 'train_samples_per_second': 63.174, 'train_steps_per_second': 3.95, 'train_loss': 0.15272796736213032, 'epoch': 3.0}
Training finished. Training time: 1187.78 seconds.
Evaluating the model...
Accuracy: 0.9161
F1-score: 0.9158
Inference time: 0.84 ms/example
GPU memory consumption: 9.45 GB
| Model         | Accuracy | F1-score | Inference Time (ms) | Memory (GB) | Training Time (s) |
|---------------|----------|----------|---------------------|-------------|-------------------|
| BERT-base     | 0.9161   | 0.9158   | 0.84               | 9.45         | 1187.78         |

Starting fine-tuning on Yelp Polarity...
{'loss': 0.1942, 'learning_rate': 1.9943428571428575e-05, 'epoch': 0.0}
{'loss': 0.1863, 'learning_rate': 1.9886285714285715e-05, 'epoch': 0.01}
{'loss': 0.1785, 'learning_rate': 1.982914285714286e-05, 'epoch': 0.01}
{'loss': 0.1366, 'learning_rate': 1.977257142857143e-05, 'epoch': 0.01}
{'loss': 0.1631, 'learning_rate': 1.9715428571428573e-05, 'epoch': 0.01}
{'loss': 0.1405, 'learning_rate': 1.9658285714285717e-05, 'epoch': 0.02}
{'loss': 0.145, 'learning_rate': 1.9601142857142857e-05, 'epoch': 0.02}
{'loss': 0.1284, 'learning_rate': 1.9544e-05, 'epoch': 0.02}
{'loss': 0.1804, 'learning_rate': 1.9486857142857145e-05, 'epoch': 0.03}
{'loss': 0.1641, 'learning_rate': 1.9429714285714286e-05, 'epoch': 0.03}
{'loss': 0.111, 'learning_rate': 1.937257142857143e-05, 'epoch': 0.03}
{'loss': 0.1369, 'learning_rate': 1.9315428571428573e-05, 'epoch': 0.03}
{'loss': 0.1363, 'learning_rate': 1.9258285714285717e-05, 'epoch': 0.04}
{'loss': 0.1103, 'learning_rate': 1.9201142857142858e-05, 'epoch': 0.04}
{'loss': 0.1416, 'learning_rate': 1.9144000000000002e-05, 'epoch': 0.04}
{'loss': 0.1357, 'learning_rate': 1.9086857142857146e-05, 'epoch': 0.05}
{'loss': 0.1374, 'learning_rate': 1.9029714285714286e-05, 'epoch': 0.05}
{'loss': 0.1351, 'learning_rate': 1.897257142857143e-05, 'epoch': 0.05}
{'loss': 0.1335, 'learning_rate': 1.8915428571428574e-05, 'epoch': 0.05}
{'loss': 0.1415, 'learning_rate': 1.8858285714285714e-05, 'epoch': 0.06}
{'loss': 0.1605, 'learning_rate': 1.8801142857142858e-05, 'epoch': 0.06}
{'loss': 0.1241, 'learning_rate': 1.8744000000000002e-05, 'epoch': 0.06}
{'loss': 0.1245, 'learning_rate': 1.8686857142857146e-05, 'epoch': 0.07}
{'loss': 0.1264, 'learning_rate': 1.8629714285714287e-05, 'epoch': 0.07}
{'loss': 0.1111, 'learning_rate': 1.857257142857143e-05, 'epoch': 0.07}
{'loss': 0.1283, 'learning_rate': 1.8515428571428574e-05, 'epoch': 0.07}
{'loss': 0.1331, 'learning_rate': 1.8458285714285715e-05, 'epoch': 0.08}
{'loss': 0.1172, 'learning_rate': 1.840114285714286e-05, 'epoch': 0.08}
{'loss': 0.1219, 'learning_rate': 1.8344000000000003e-05, 'epoch': 0.08}
{'loss': 0.1289, 'learning_rate': 1.8286857142857143e-05, 'epoch': 0.09}
{'loss': 0.1274, 'learning_rate': 1.8229714285714287e-05, 'epoch': 0.09}
{'loss': 0.1168, 'learning_rate': 1.817257142857143e-05, 'epoch': 0.09}
{'loss': 0.1179, 'learning_rate': 1.811542857142857e-05, 'epoch': 0.09}
{'loss': 0.1179, 'learning_rate': 1.8058285714285715e-05, 'epoch': 0.1}
{'loss': 0.1108, 'learning_rate': 1.800114285714286e-05, 'epoch': 0.1}
{'loss': 0.1363, 'learning_rate': 1.7944000000000003e-05, 'epoch': 0.1}
{'loss': 0.128, 'learning_rate': 1.7886857142857144e-05, 'epoch': 0.11}
{'loss': 0.1213, 'learning_rate': 1.7829714285714287e-05, 'epoch': 0.11}
{'loss': 0.1199, 'learning_rate': 1.777257142857143e-05, 'epoch': 0.11}
{'loss': 0.0934, 'learning_rate': 1.7715428571428572e-05, 'epoch': 0.11}
{'loss': 0.1284, 'learning_rate': 1.7658285714285716e-05, 'epoch': 0.12}
{'loss': 0.1281, 'learning_rate': 1.760114285714286e-05, 'epoch': 0.12}
{'loss': 0.1356, 'learning_rate': 1.7544e-05, 'epoch': 0.12}
{'loss': 0.1242, 'learning_rate': 1.7487428571428573e-05, 'epoch': 0.13}
{'loss': 0.1303, 'learning_rate': 1.7430285714285714e-05, 'epoch': 0.13}
{'loss': 0.1113, 'learning_rate': 1.737314285714286e-05, 'epoch': 0.13}
{'loss': 0.1207, 'learning_rate': 1.7316e-05, 'epoch': 0.13}
{'loss': 0.1103, 'learning_rate': 1.7258857142857145e-05, 'epoch': 0.14}
{'loss': 0.074, 'learning_rate': 1.7201714285714286e-05, 'epoch': 0.14}
{'loss': 0.1306, 'learning_rate': 1.714457142857143e-05, 'epoch': 0.14}
{'loss': 0.1208, 'learning_rate': 1.7088000000000003e-05, 'epoch': 0.15}
{'loss': 0.1293, 'learning_rate': 1.7030857142857144e-05, 'epoch': 0.15}
{'loss': 0.1395, 'learning_rate': 1.6973714285714287e-05, 'epoch': 0.15}
{'loss': 0.1053, 'learning_rate': 1.6916571428571428e-05, 'epoch': 0.15}
{'loss': 0.1164, 'learning_rate': 1.6859428571428572e-05, 'epoch': 0.16}
{'loss': 0.1293, 'learning_rate': 1.6802285714285716e-05, 'epoch': 0.16}
{'loss': 0.1322, 'learning_rate': 1.6745142857142856e-05, 'epoch': 0.16}
{'loss': 0.0913, 'learning_rate': 1.6688000000000004e-05, 'epoch': 0.17}
{'loss': 0.1554, 'learning_rate': 1.6630857142857144e-05, 'epoch': 0.17}
{'loss': 0.1161, 'learning_rate': 1.6573714285714288e-05, 'epoch': 0.17}
{'loss': 0.1114, 'learning_rate': 1.6516571428571432e-05, 'epoch': 0.17}
{'loss': 0.1104, 'learning_rate': 1.6459428571428572e-05, 'epoch': 0.18}
{'loss': 0.1127, 'learning_rate': 1.6402285714285716e-05, 'epoch': 0.18}
{'loss': 0.1139, 'learning_rate': 1.634514285714286e-05, 'epoch': 0.18}
{'loss': 0.1176, 'learning_rate': 1.6288e-05, 'epoch': 0.19}
{'loss': 0.0942, 'learning_rate': 1.6230857142857144e-05, 'epoch': 0.19}
{'loss': 0.1125, 'learning_rate': 1.617371428571429e-05, 'epoch': 0.19}
{'loss': 0.1112, 'learning_rate': 1.611657142857143e-05, 'epoch': 0.19}
{'loss': 0.0973, 'learning_rate': 1.6059428571428573e-05, 'epoch': 0.2}
{'loss': 0.1088, 'learning_rate': 1.6002285714285713e-05, 'epoch': 0.2}
{'loss': 0.0993, 'learning_rate': 1.5945714285714286e-05, 'epoch': 0.2}
{'loss': 0.145, 'learning_rate': 1.588857142857143e-05, 'epoch': 0.21}
{'loss': 0.0921, 'learning_rate': 1.5831428571428574e-05, 'epoch': 0.21}
{'loss': 0.1033, 'learning_rate': 1.5774285714285715e-05, 'epoch': 0.21}
{'loss': 0.1157, 'learning_rate': 1.571714285714286e-05, 'epoch': 0.21}
{'loss': 0.1098, 'learning_rate': 1.5660000000000003e-05, 'epoch': 0.22}
{'loss': 0.1082, 'learning_rate': 1.5602857142857143e-05, 'epoch': 0.22}
{'loss': 0.1083, 'learning_rate': 1.5545714285714287e-05, 'epoch': 0.22}
{'loss': 0.123, 'learning_rate': 1.548857142857143e-05, 'epoch': 0.23}
{'loss': 0.1062, 'learning_rate': 1.543142857142857e-05, 'epoch': 0.23}
{'loss': 0.1056, 'learning_rate': 1.5374285714285715e-05, 'epoch': 0.23}
{'loss': 0.1357, 'learning_rate': 1.531714285714286e-05, 'epoch': 0.23}
{'loss': 0.0961, 'learning_rate': 1.5260000000000003e-05, 'epoch': 0.24}
{'loss': 0.0932, 'learning_rate': 1.5202857142857143e-05, 'epoch': 0.24}
{'loss': 0.1312, 'learning_rate': 1.5145714285714287e-05, 'epoch': 0.24}
{'loss': 0.1048, 'learning_rate': 1.508857142857143e-05, 'epoch': 0.25}
{'loss': 0.1179, 'learning_rate': 1.5031428571428572e-05, 'epoch': 0.25}
{'loss': 0.1081, 'learning_rate': 1.4974285714285714e-05, 'epoch': 0.25}
{'loss': 0.0901, 'learning_rate': 1.491714285714286e-05, 'epoch': 0.25}
{'loss': 0.1, 'learning_rate': 1.4860000000000002e-05, 'epoch': 0.26}
{'loss': 0.1215, 'learning_rate': 1.4802857142857144e-05, 'epoch': 0.26}
{'loss': 0.1188, 'learning_rate': 1.4745714285714288e-05, 'epoch': 0.26}
{'loss': 0.0901, 'learning_rate': 1.468857142857143e-05, 'epoch': 0.27}
{'loss': 0.1261, 'learning_rate': 1.4631428571428572e-05, 'epoch': 0.27}
{'loss': 0.1187, 'learning_rate': 1.4574285714285716e-05, 'epoch': 0.27}
{'loss': 0.0803, 'learning_rate': 1.4517142857142858e-05, 'epoch': 0.27}
{'loss': 0.0871, 'learning_rate': 1.446e-05, 'epoch': 0.28}
{'loss': 0.1032, 'learning_rate': 1.4403428571428572e-05, 'epoch': 0.28}
{'loss': 0.1086, 'learning_rate': 1.4346285714285714e-05, 'epoch': 0.28}
{'loss': 0.1069, 'learning_rate': 1.428914285714286e-05, 'epoch': 0.29}
{'loss': 0.1154, 'learning_rate': 1.4232000000000002e-05, 'epoch': 0.29}
{'loss': 0.1144, 'learning_rate': 1.4174857142857144e-05, 'epoch': 0.29}
{'loss': 0.0907, 'learning_rate': 1.4117714285714288e-05, 'epoch': 0.29}
{'loss': 0.103, 'learning_rate': 1.406057142857143e-05, 'epoch': 0.3}
{'loss': 0.1177, 'learning_rate': 1.4003428571428572e-05, 'epoch': 0.3}
{'loss': 0.105, 'learning_rate': 1.3946285714285715e-05, 'epoch': 0.3}
{'loss': 0.1144, 'learning_rate': 1.3889142857142859e-05, 'epoch': 0.31}
{'loss': 0.114, 'learning_rate': 1.3832e-05, 'epoch': 0.31}
{'loss': 0.0916, 'learning_rate': 1.3774857142857143e-05, 'epoch': 0.31}
{'loss': 0.1006, 'learning_rate': 1.3717714285714287e-05, 'epoch': 0.31}
{'loss': 0.1056, 'learning_rate': 1.3660571428571429e-05, 'epoch': 0.32}
{'loss': 0.0927, 'learning_rate': 1.3603428571428571e-05, 'epoch': 0.32}
{'loss': 0.113, 'learning_rate': 1.3546285714285717e-05, 'epoch': 0.32}
{'loss': 0.1082, 'learning_rate': 1.3489142857142859e-05, 'epoch': 0.33}
{'loss': 0.116, 'learning_rate': 1.3432000000000001e-05, 'epoch': 0.33}
{'loss': 0.0869, 'learning_rate': 1.3374857142857145e-05, 'epoch': 0.33}
{'loss': 0.1045, 'learning_rate': 1.3317714285714287e-05, 'epoch': 0.33}
{'loss': 0.0901, 'learning_rate': 1.326057142857143e-05, 'epoch': 0.34}
{'loss': 0.1032, 'learning_rate': 1.3203428571428572e-05, 'epoch': 0.34}
{'loss': 0.1115, 'learning_rate': 1.3146857142857143e-05, 'epoch': 0.34}
{'loss': 0.1019, 'learning_rate': 1.3089714285714287e-05, 'epoch': 0.35}
{'loss': 0.1029, 'learning_rate': 1.303257142857143e-05, 'epoch': 0.35}
{'loss': 0.0875, 'learning_rate': 1.2975428571428571e-05, 'epoch': 0.35}
{'loss': 0.1074, 'learning_rate': 1.2918285714285714e-05, 'epoch': 0.35}
{'loss': 0.0752, 'learning_rate': 1.286114285714286e-05, 'epoch': 0.36}
{'loss': 0.1118, 'learning_rate': 1.2804000000000001e-05, 'epoch': 0.36}
{'loss': 0.1139, 'learning_rate': 1.2746857142857144e-05, 'epoch': 0.36}
{'loss': 0.1014, 'learning_rate': 1.2689714285714287e-05, 'epoch': 0.37}
{'loss': 0.1004, 'learning_rate': 1.263257142857143e-05, 'epoch': 0.37}
{'loss': 0.1226, 'learning_rate': 1.2575428571428572e-05, 'epoch': 0.37}
{'loss': 0.0849, 'learning_rate': 1.2518285714285716e-05, 'epoch': 0.37}
{'loss': 0.1104, 'learning_rate': 1.2461142857142858e-05, 'epoch': 0.38}
{'loss': 0.0955, 'learning_rate': 1.2404e-05, 'epoch': 0.38}
{'loss': 0.1186, 'learning_rate': 1.2346857142857144e-05, 'epoch': 0.38}
{'loss': 0.1207, 'learning_rate': 1.2289714285714286e-05, 'epoch': 0.39}
{'loss': 0.1189, 'learning_rate': 1.2232571428571428e-05, 'epoch': 0.39}
{'loss': 0.104, 'learning_rate': 1.217542857142857e-05, 'epoch': 0.39}
{'loss': 0.078, 'learning_rate': 1.2118285714285716e-05, 'epoch': 0.39}
{'loss': 0.0899, 'learning_rate': 1.2061142857142858e-05, 'epoch': 0.4}
{'loss': 0.1098, 'learning_rate': 1.2004e-05, 'epoch': 0.4}
{'loss': 0.0789, 'learning_rate': 1.1946857142857144e-05, 'epoch': 0.4}
{'loss': 0.1025, 'learning_rate': 1.1889714285714287e-05, 'epoch': 0.41}
{'loss': 0.1042, 'learning_rate': 1.1832571428571429e-05, 'epoch': 0.41}
{'loss': 0.1022, 'learning_rate': 1.1775428571428573e-05, 'epoch': 0.41}
{'loss': 0.1065, 'learning_rate': 1.1718285714285715e-05, 'epoch': 0.41}
{'loss': 0.1032, 'learning_rate': 1.1661714285714286e-05, 'epoch': 0.42}
{'loss': 0.0875, 'learning_rate': 1.1604571428571429e-05, 'epoch': 0.42}
{'loss': 0.1071, 'learning_rate': 1.1547428571428571e-05, 'epoch': 0.42}
{'loss': 0.0893, 'learning_rate': 1.1490285714285716e-05, 'epoch': 0.43}
{'loss': 0.094, 'learning_rate': 1.1433142857142859e-05, 'epoch': 0.43}
{'loss': 0.1206, 'learning_rate': 1.1376000000000001e-05, 'epoch': 0.43}
{'loss': 0.0975, 'learning_rate': 1.1318857142857145e-05, 'epoch': 0.43}
{'loss': 0.1088, 'learning_rate': 1.1261714285714287e-05, 'epoch': 0.44}
{'loss': 0.1021, 'learning_rate': 1.1204571428571429e-05, 'epoch': 0.44}
{'loss': 0.0932, 'learning_rate': 1.1147428571428571e-05, 'epoch': 0.44}
{'loss': 0.1016, 'learning_rate': 1.1090285714285715e-05, 'epoch': 0.45}
{'loss': 0.0811, 'learning_rate': 1.1033142857142857e-05, 'epoch': 0.45}
{'loss': 0.1138, 'learning_rate': 1.0976e-05, 'epoch': 0.45}
{'loss': 0.117, 'learning_rate': 1.0918857142857145e-05, 'epoch': 0.45}
{'loss': 0.0767, 'learning_rate': 1.0861714285714287e-05, 'epoch': 0.46}
{'loss': 0.1083, 'learning_rate': 1.0804571428571428e-05, 'epoch': 0.46}
{'loss': 0.0904, 'learning_rate': 1.0747428571428573e-05, 'epoch': 0.46}
{'loss': 0.087, 'learning_rate': 1.0690285714285716e-05, 'epoch': 0.47}
{'loss': 0.0984, 'learning_rate': 1.0633142857142858e-05, 'epoch': 0.47}
{'loss': 0.103, 'learning_rate': 1.0576000000000002e-05, 'epoch': 0.47}
{'loss': 0.0959, 'learning_rate': 1.0518857142857144e-05, 'epoch': 0.47}
{'loss': 0.0882, 'learning_rate': 1.0461714285714286e-05, 'epoch': 0.48}
{'loss': 0.1038, 'learning_rate': 1.0404571428571428e-05, 'epoch': 0.48}
{'loss': 0.099, 'learning_rate': 1.0347428571428572e-05, 'epoch': 0.48}
{'loss': 0.0942, 'learning_rate': 1.0290285714285714e-05, 'epoch': 0.49}
{'loss': 0.0822, 'learning_rate': 1.0233142857142857e-05, 'epoch': 0.49}
{'loss': 0.0974, 'learning_rate': 1.0176000000000002e-05, 'epoch': 0.49}
{'loss': 0.0766, 'learning_rate': 1.0118857142857144e-05, 'epoch': 0.49}
{'loss': 0.0904, 'learning_rate': 1.0061714285714287e-05, 'epoch': 0.5}
{'loss': 0.105, 'learning_rate': 1.000457142857143e-05, 'epoch': 0.5}
{'loss': 0.0942, 'learning_rate': 9.947428571428573e-06, 'epoch': 0.5}
{'loss': 0.0781, 'learning_rate': 9.890857142857142e-06, 'epoch': 0.51}
{'loss': 0.1073, 'learning_rate': 9.833714285714286e-06, 'epoch': 0.51}
{'loss': 0.102, 'learning_rate': 9.77657142857143e-06, 'epoch': 0.51}
{'loss': 0.0829, 'learning_rate': 9.719428571428572e-06, 'epoch': 0.51}
{'loss': 0.0914, 'learning_rate': 9.662285714285715e-06, 'epoch': 0.52}
{'loss': 0.0856, 'learning_rate': 9.605142857142859e-06, 'epoch': 0.52}
{'loss': 0.0726, 'learning_rate': 9.548e-06, 'epoch': 0.52}
{'loss': 0.1144, 'learning_rate': 9.490857142857145e-06, 'epoch': 0.53}
{'loss': 0.0853, 'learning_rate': 9.433714285714287e-06, 'epoch': 0.53}
{'loss': 0.0834, 'learning_rate': 9.376571428571429e-06, 'epoch': 0.53}
{'loss': 0.0885, 'learning_rate': 9.319428571428573e-06, 'epoch': 0.53}
{'loss': 0.0906, 'learning_rate': 9.262285714285715e-06, 'epoch': 0.54}
{'loss': 0.0973, 'learning_rate': 9.205142857142857e-06, 'epoch': 0.54}
{'loss': 0.0984, 'learning_rate': 9.148e-06, 'epoch': 0.54}
{'loss': 0.0921, 'learning_rate': 9.090857142857143e-06, 'epoch': 0.55}
{'loss': 0.0796, 'learning_rate': 9.033714285714287e-06, 'epoch': 0.55}
{'loss': 0.1059, 'learning_rate': 8.97657142857143e-06, 'epoch': 0.55}
{'loss': 0.1015, 'learning_rate': 8.919428571428572e-06, 'epoch': 0.55}
{'loss': 0.0876, 'learning_rate': 8.862285714285716e-06, 'epoch': 0.56}
{'loss': 0.0986, 'learning_rate': 8.805142857142858e-06, 'epoch': 0.56}
{'loss': 0.0938, 'learning_rate': 8.748000000000002e-06, 'epoch': 0.56}
{'loss': 0.072, 'learning_rate': 8.690857142857144e-06, 'epoch': 0.57}
{'loss': 0.1065, 'learning_rate': 8.633714285714286e-06, 'epoch': 0.57}
{'loss': 0.0894, 'learning_rate': 8.57657142857143e-06, 'epoch': 0.57}
{'loss': 0.0903, 'learning_rate': 8.52e-06, 'epoch': 0.57}
{'loss': 0.0889, 'learning_rate': 8.462857142857144e-06, 'epoch': 0.58}
{'loss': 0.0869, 'learning_rate': 8.405714285714286e-06, 'epoch': 0.58}
{'loss': 0.1035, 'learning_rate': 8.34857142857143e-06, 'epoch': 0.58}
{'loss': 0.104, 'learning_rate': 8.291428571428572e-06, 'epoch': 0.59}
{'loss': 0.1264, 'learning_rate': 8.234285714285714e-06, 'epoch': 0.59}
{'loss': 0.1071, 'learning_rate': 8.177142857142858e-06, 'epoch': 0.59}
{'loss': 0.0883, 'learning_rate': 8.120000000000002e-06, 'epoch': 0.59}
{'loss': 0.0854, 'learning_rate': 8.062857142857144e-06, 'epoch': 0.6}
{'loss': 0.105, 'learning_rate': 8.005714285714286e-06, 'epoch': 0.6}
{'loss': 0.0969, 'learning_rate': 7.948571428571428e-06, 'epoch': 0.6}
{'loss': 0.1052, 'learning_rate': 7.891428571428572e-06, 'epoch': 0.61}
{'loss': 0.1008, 'learning_rate': 7.834285714285715e-06, 'epoch': 0.61}
{'loss': 0.1028, 'learning_rate': 7.777142857142857e-06, 'epoch': 0.61}
{'loss': 0.0802, 'learning_rate': 7.72e-06, 'epoch': 0.61}
{'loss': 0.08, 'learning_rate': 7.662857142857143e-06, 'epoch': 0.62}
{'loss': 0.0867, 'learning_rate': 7.605714285714286e-06, 'epoch': 0.62}
{'loss': 0.0819, 'learning_rate': 7.54857142857143e-06, 'epoch': 0.62}
{'loss': 0.095, 'learning_rate': 7.491428571428572e-06, 'epoch': 0.63}
{'loss': 0.0982, 'learning_rate': 7.434285714285715e-06, 'epoch': 0.63}
{'loss': 0.0958, 'learning_rate': 7.377142857142858e-06, 'epoch': 0.63}
{'loss': 0.0998, 'learning_rate': 7.320571428571429e-06, 'epoch': 0.63}
{'loss': 0.068, 'learning_rate': 7.263428571428573e-06, 'epoch': 0.64}
{'loss': 0.0988, 'learning_rate': 7.206285714285715e-06, 'epoch': 0.64}
{'loss': 0.0763, 'learning_rate': 7.149142857142858e-06, 'epoch': 0.64}
{'loss': 0.08, 'learning_rate': 7.092000000000001e-06, 'epoch': 0.65}
{'loss': 0.1078, 'learning_rate': 7.034857142857143e-06, 'epoch': 0.65}
{'loss': 0.0937, 'learning_rate': 6.977714285714287e-06, 'epoch': 0.65}
{'loss': 0.083, 'learning_rate': 6.920571428571428e-06, 'epoch': 0.65}
{'loss': 0.085, 'learning_rate': 6.863428571428572e-06, 'epoch': 0.66}
{'loss': 0.1199, 'learning_rate': 6.806285714285715e-06, 'epoch': 0.66}
{'loss': 0.0763, 'learning_rate': 6.7491428571428574e-06, 'epoch': 0.66}
{'loss': 0.0949, 'learning_rate': 6.6920000000000005e-06, 'epoch': 0.67}
{'loss': 0.0816, 'learning_rate': 6.634857142857143e-06, 'epoch': 0.67}
{'loss': 0.0627, 'learning_rate': 6.5777142857142866e-06, 'epoch': 0.67}
{'loss': 0.0794, 'learning_rate': 6.52057142857143e-06, 'epoch': 0.67}
{'loss': 0.0859, 'learning_rate': 6.463428571428572e-06, 'epoch': 0.68}
{'loss': 0.097, 'learning_rate': 6.406285714285715e-06, 'epoch': 0.68}
{'loss': 0.1015, 'learning_rate': 6.349142857142858e-06, 'epoch': 0.68}
{'loss': 0.1077, 'learning_rate': 6.292e-06, 'epoch': 0.69}
{'loss': 0.0686, 'learning_rate': 6.234857142857144e-06, 'epoch': 0.69}
{'loss': 0.0816, 'learning_rate': 6.177714285714286e-06, 'epoch': 0.69}
{'loss': 0.0958, 'learning_rate': 6.120571428571429e-06, 'epoch': 0.69}
{'loss': 0.0854, 'learning_rate': 6.063428571428572e-06, 'epoch': 0.7}
{'loss': 0.0963, 'learning_rate': 6.0062857142857144e-06, 'epoch': 0.7}
{'loss': 0.1004, 'learning_rate': 5.9491428571428575e-06, 'epoch': 0.7}
{'loss': 0.0904, 'learning_rate': 5.892e-06, 'epoch': 0.71}
{'loss': 0.0646, 'learning_rate': 5.8348571428571435e-06, 'epoch': 0.71}
{'loss': 0.137, 'learning_rate': 5.778285714285715e-06, 'epoch': 0.71}
{'loss': 0.1027, 'learning_rate': 5.721142857142857e-06, 'epoch': 0.71}
{'loss': 0.0696, 'learning_rate': 5.664e-06, 'epoch': 0.72}
{'loss': 0.0886, 'learning_rate': 5.6068571428571425e-06, 'epoch': 0.72}
{'loss': 0.0993, 'learning_rate': 5.549714285714286e-06, 'epoch': 0.72}
{'loss': 0.0899, 'learning_rate': 5.4925714285714294e-06, 'epoch': 0.73}
{'loss': 0.1125, 'learning_rate': 5.435428571428572e-06, 'epoch': 0.73}
{'loss': 0.0781, 'learning_rate': 5.378285714285715e-06, 'epoch': 0.73}
{'loss': 0.0811, 'learning_rate': 5.321142857142858e-06, 'epoch': 0.73}
{'loss': 0.082, 'learning_rate': 5.264e-06, 'epoch': 0.74}
{'loss': 0.0881, 'learning_rate': 5.206857142857144e-06, 'epoch': 0.74}
{'loss': 0.0701, 'learning_rate': 5.149714285714286e-06, 'epoch': 0.74}
{'loss': 0.0956, 'learning_rate': 5.092571428571429e-06, 'epoch': 0.75}
{'loss': 0.0973, 'learning_rate': 5.035428571428572e-06, 'epoch': 0.75}
